timestamp,download_Mbps,upload_Mbps
2025-05-22 12:18:57.450842,16.01,15.95
2025-05-22 12:19:28.457573,10.51,14.37
2025-05-22 12:20:00.076568,12.52,15.27
2025-05-22 12:20:31.628700,9.91,13.26
2025-05-22 12:21:02.216712,2.28,5.91
2025-05-22 12:21:32.706717,7.73,14.97
2025-05-22 12:22:03.524209,12.18,18.4
2025-05-22 12:22:34.099614,5.91,15.08
2025-05-22 12:23:04.902050,5.9,12.79
2025-05-22 12:23:35.464023,10.92,12.2
2025-05-22 12:24:05.876446,7.9,11.14
2025-05-22 12:24:36.097157,10.69,19.62
2025-05-22 12:25:08.063123,14.95,20.99
2025-05-22 12:25:39.068583,20.17,13.36
2025-05-22 12:26:09.527831,9.4,22.95
2025-05-22 12:26:40.047328,15.54,17.79
2025-05-22 12:27:10.552355,18.3,14.17
2025-05-22 12:27:41.234972,16.28,16.3
2025-05-22 12:28:11.560840,19.58,25.62
2025-05-22 12:28:41.833021,20.78,26.21
2025-05-22 12:29:12.014050,14.03,25.72
2025-05-22 12:29:42.325384,14.57,25.42
2025-05-22 12:30:12.551411,16.81,18.74
2025-05-22 12:30:42.732068,20.54,17.01
2025-05-22 12:31:13.598563,17.89,25.37
2025-05-22 12:31:43.949280,22.45,25.74
2025-05-22 12:32:14.541513,13.71,19.95
2025-05-22 12:32:44.883539,0.72,13.12
2025-05-22 12:33:15.727009,15.4,14.83
2025-05-22 12:33:49.954250,19.26,19.43
2025-05-22 12:34:20.699998,22.37,24.59
2025-05-22 12:34:50.924683,12.79,16.33
2025-05-22 12:35:21.411887,19.38,9.74
2025-05-22 12:35:51.637710,17.46,12.19
2025-05-22 12:36:21.998170,21.06,25.32
2025-05-22 12:36:52.353051,19.51,13.9
2025-05-22 12:37:24.714017,19.65,30.18
2025-05-22 12:37:54.951677,14.55,15.96
2025-05-22 12:38:25.253340,23.63,20.82
2025-05-22 12:38:56.276839,22.4,15.55
2025-05-22 12:39:26.649809,18.44,22.04
2025-05-22 12:39:56.783442,15.02,15.33
2025-05-22 12:40:26.960387,15.87,18.33
2025-05-22 12:40:57.309058,22.96,18.3
2025-05-22 12:41:27.522562,19.05,25.81
2025-05-22 12:41:57.970864,19.88,14.31
2025-05-22 12:42:28.241098,14.81,26.71
2025-05-22 12:42:58.820895,15.39,12.17
2025-05-22 12:43:29.593159,17.48,20.54
2025-05-22 12:44:00.291983,15.74,13.44
2025-05-22 12:44:30.707123,11.24,15.95
2025-05-22 12:45:01.029649,11.53,11.9
2025-05-22 12:45:31.260658,17.72,19.47
2025-05-22 12:46:01.661053,18.31,10.63
2025-05-22 12:46:32.432804,16.81,21.85
2025-05-22 12:47:02.986005,15.99,12.91
2025-05-22 12:47:33.299020,10.8,17.6
2025-05-22 12:48:03.818212,10.08,11.0
2025-05-22 12:48:34.356665,15.44,13.12
2025-05-22 12:49:04.819318,10.69,12.6
2025-05-22 12:49:35.534124,14.96,18.59
2025-05-22 12:50:06.134527,13.75,14.0
2025-05-22 12:50:37.422755,10.41,23.44
2025-05-22 12:51:08.039186,15.27,8.98
2025-05-22 12:51:40.729314,14.79,21.43
2025-05-22 12:52:11.458035,11.8,5.73
2025-05-22 12:52:44.420570,0.0,2.87
2025-05-22 12:53:17.211706,10.71,19.67
2025-05-22 12:53:47.819361,6.67,27.46
2025-05-22 12:54:18.266554,20.21,14.68
